#SampleID	Reef	Colony	Environment	Treatment
Control1	controls	controls	controls	positive
Control2	controls	controls	controls	positive
Control3	controls	controls	controls	positive
Neg1	controls	controls	controls	negative
Neg2	controls	controls	controls	negative
Hw1.1a	Houwan	HW1	Stable	Antibiotics.Heat
Hw1.1b	Houwan	HW1	Stable	Antibiotics.Heat
Hw1.1c	Houwan	HW1	Stable	Antibiotics.Heat
Hw1.2a	Houwan	HW1	Stable	Antibiotics.Heat.LPS
Hw1.2b	Houwan	HW1	Stable	Antibiotics.Heat.LPS
Hw1.2c	Houwan	HW1	Stable	Antibiotics.Heat.LPS
Hw1.3a	Houwan	HW1	Stable	LPS
Hw1.3b	Houwan	HW1	Stable	LPS
Hw1.3c	Houwan	HW1	Stable	LPS
Hw1.4a	Houwan	HW1	Stable	Heat
Hw1.4b	Houwan	HW1	Stable	Heat
Hw1.4c	Houwan	HW1	Stable	Heat
Hw1.5a	Houwan	HW1	Stable	Antibiotics
Hw1.5b	Houwan	HW1	Stable	Antibiotics
Hw1.5c	Houwan	HW1	Stable	Antibiotics
Hw1.6a	Houwan	HW1	Stable	control
Hw1.6b	Houwan	HW1	Stable	control
Hw1.6c	Houwan	HW1	Stable	control
Hw2.1a	Houwan	HW2	Stable	Antibiotics.Heat
Hw2.1b	Houwan	HW2	Stable	Antibiotics.Heat
Hw2.1c	Houwan	HW2	Stable	Antibiotics.Heat
Hw2.2a	Houwan	HW2	Stable	Antibiotics.Heat.LPS
Hw2.2b	Houwan	HW2	Stable	Antibiotics.Heat.LPS
Hw2.2c	Houwan	HW2	Stable	Antibiotics.Heat.LPS
Hw2.3a	Houwan	HW2	Stable	LPS
Hw2.3b	Houwan	HW2	Stable	LPS
Hw2.3c	Houwan	HW2	Stable	LPS
Hw2.4a	Houwan	HW2	Stable	Heat
Hw2.4b	Houwan	HW2	Stable	Heat
Hw2.4c	Houwan	HW2	Stable	Heat
Hw2.5a	Houwan	HW2	Stable	Antibiotics
Hw2.5b	Houwan	HW2	Stable	Antibiotics
Hw2.5c	Houwan	HW2	Stable	Antibiotics
Hw2.6a	Houwan	HW2	Stable	control
Hw2.6b	Houwan	HW2	Stable	control
Hw2.6c	Houwan	HW2	Stable	control
Wt1.1a	Wanglitung	WT1	Stable	Antibiotics.Heat
Wt1.1b	Wanglitung	WT1	Stable	Antibiotics.Heat
Wt1.1c	Wanglitung	WT1	Stable	Antibiotics.Heat
Wt1.2a	Wanglitung	WT1	Stable	Antibiotics.Heat.LPS
Wt1.2b	Wanglitung	WT1	Stable	Antibiotics.Heat.LPS
Wt1.3a	Wanglitung	WT1	Stable	LPS
Wt1.3b	Wanglitung	WT1	Stable	LPS
Wt1.3c	Wanglitung	WT1	Stable	LPS
Wt1.4a	Wanglitung	WT1	Stable	Heat
Wt1.4b	Wanglitung	WT1	Stable	Heat
Wt1.4c	Wanglitung	WT1	Stable	Heat
Wt1.5a	Wanglitung	WT1	Stable	Antibiotics
Wt1.5b	Wanglitung	WT1	Stable	Antibiotics
Wt1.5c	Wanglitung	WT1	Stable	Antibiotics
Wt1.6a	Wanglitung	WT1	Stable	control
Wt1.6b	Wanglitung	WT1	Stable	control
Wt1.6c	Wanglitung	WT1	Stable	control
Wt2.1a	Wanglitung	WT2	Stable	Antibiotics.Heat
Wt2.1b	Wanglitung	WT2	Stable	Antibiotics.Heat
Wt2.1c	Wanglitung	WT2	Stable	Antibiotics.Heat
